Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Kostas Antetokounmpo,0,2019-10-25,21-339,LAL,,UTA,W 95-86,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.8,0,F,antetko01
2,DeAndre' Bembry,0,2019-12-13,25-162,ATL,,IND,L 100-110,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.3,-2,F,bembrde01
3,Bol Bol,0,2020-08-08,20-266,DEN,,UTA,W 134-132 (2OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.1,,F-C,bolbo01
4,Charlie Brown Jr.,0,2020-02-07,23-005,ATL,@,BOS,L 107-112,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.7,0,G,brownch02
5,Moses Brown,0,2020-02-12,20-122,POR,@,MEM,L 104-111,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.8,,C,brownmo01
6,Moses Brown,0,2019-11-10,20-028,POR,,ATL,W 124-113 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.3,0,C,brownmo01
7,Sterling Brown,0,2019-10-26,24-258,MIL,,MIA,L 126-131 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-3.6,0,G,brownst02
8,Jalen Brunson,0,2020-02-22,23-175,DAL,@,ATL,L 107-111,*,0,1,1,1.000,1,1,1.000,0,0,,0,1,.000,.694,0,0,0,0,0,0,0,1,2,0.9,67.8,2,G,brunsja01
9,Deonte Burton,0,2019-10-28,25-270,OKC,@,HOU,L 112-116,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,1,0,-0.4,-351.0,-2,G,burtode02
10,Vlatko Čančar,0,2020-01-12,22-277,DEN,,LAC,W 114-104,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-4.2,0,F,cancavl01
11,Tyson Chandler,0,2020-02-09,37-130,HOU,,UTA,L 113-114,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.5,-3,C,chandty01
12,Antonius Cleveland,0,2020-07-31,26-180,DAL,,HOU,L 149-153 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-3.5,0,G,clevean01
13,Amir Coffey,0,2020-08-06,23-050,LAC,@,DAL,W 126-111,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-4.7,,G,coffeam01
14,Pat Connaughton,0,2020-01-16,27-010,MIL,,BOS,W 128-123,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.1,-3,G,connapa01
15,Tyler Cook,0,2019-10-26,22-033,CLE,,IND,W 110-99,,0,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,0,0,0,0,0.3,17.5,0,F,cookty01
16,Kris Dunn,0,2020-01-31,25-319,CHI,@,BRK,L 118-133,*,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-10.2,0,G,dunnkr01
17,Carsen Edwards,0,2020-02-13,21-338,BOS,,LAC,W 141-133 (2OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-3.2,-1,G,edwarca01
18,Wayne Ellington,0,2019-11-16,31-352,NYK,,CHO,L 102-103,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.4,,G,ellinwa01
19,Wayne Ellington,0,2019-11-14,31-350,NYK,,DAL,W 106-103,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.1,2,G,ellinwa01
20,Michael Frazier,0,2020-01-18,25-316,HOU,,LAL,L 115-124,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-4.1,0,G,frazimi01
21,Javonte Green,0,2019-10-25,26-094,BOS,,TOR,W 112-106,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.0,0,F,greenja02
22,Javonte Green,0,2019-10-30,26-099,BOS,,MIL,W 116-105,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-4.1,0,F,greenja02
23,Shaquille Harrison,0,2019-12-09,26-064,CHI,,TOR,L 92-93,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.5,0,G,harrish01
24,Kevin Hervey,0,2020-01-18,23-193,OKC,,POR,W 119-106,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-4.8,0,F,herveke01
25,Solomon Hill,0,2020-03-02,28-350,MIA,,MIL,W 105-89,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-3.6,,F,hillso01
26,Jaylen Hoard,0,2019-11-10,20-225,POR,,ATL,W 124-113 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,0,0,0,0,0.3,11.7,0,F,hoardja01
27,Justin James,0,2020-02-01,23-008,SAC,,LAL,L 113-129,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.8,0,G,jamesju01
28,Justin James,0,2020-01-20,22-361,SAC,@,MIA,L 113-118 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.8,0,G,jamesju01
29,Justin James,0,2019-12-26,22-336,SAC,,MIN,L 104-105 (2OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,1,0,0,-1.0,-8.9,,G,jamesju01
30,Justin James,0,2020-01-02,22-343,SAC,,MEM,W 128-123,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.3,-2,G,jamesju01
31,Justin James,0,2020-01-04,22-345,SAC,,NOP,L 115-117,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.0,0,G,jamesju01
32,Justin James,0,2020-02-20,23-027,SAC,,MEM,W 129-125,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.2,-3,G,jamesju01
33,Amile Jefferson,0,2019-11-25,26-202,ORL,@,DET,L 88-103,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.3,0,F,jeffeam01
34,DaQuan Jeffries,0,2020-02-10,22-164,SAC,@,MIL,L 111-123,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.6,-1,G-F,jeffrda01
35,Derrick Jones Jr.,0,2019-12-01,22-289,MIA,@,BRK,W 109-106,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.4,0,F,jonesde02
36,Derrick Jones Jr.,0,2020-08-03,23-170,MIA,,TOR,L 103-107,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,1,0,-0.4,-75.1,-5,F,jonesde02
37,Romeo Langford,0,2019-10-30,20-005,BOS,,MIL,W 116-105,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-2.7,0,G,langfro01
38,Terance Mann,0,2019-11-03,23-016,LAC,,UTA,W 105-94,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.7,0,G-F,mannte01
39,Terance Mann,0,2019-11-11,23-024,LAC,,TOR,W 98-88,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.1,0,G-F,mannte01
40,Terance Mann,0,2019-10-26,23-008,LAC,@,PHO,L 122-130,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.4,0,G-F,mannte01
41,Terance Mann,0,2019-11-13,23-026,LAC,@,HOU,L 93-102,,0,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,0,0,0,0,0,0,0,0,2,1.7,128.6,2,G-F,mannte01
42,Terance Mann,0,2020-01-10,23-084,LAC,,GSW,W 109-100,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.8,0,G-F,mannte01
43,Terance Mann,0,2020-01-12,23-086,LAC,@,DEN,L 104-114,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.9,0,G-F,mannte01
44,Terance Mann,0,2020-02-22,23-127,LAC,,SAC,L 103-112,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.0,0,G-F,mannte01
45,Terance Mann,0,2020-02-13,23-118,LAC,@,BOS,L 133-141 (2OT),,0,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.7,-177.8,1,G-F,mannte01
46,Terance Mann,0,2020-01-18,23-092,LAC,@,NOP,W 133-130,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.9,0,G-F,mannte01
47,Boban Marjanović,0,2020-02-28,31-197,DAL,@,MIA,L 118-126,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.9,,C,marjabo01
48,Boban Marjanović,0,2020-02-07,31-176,DAL,@,WAS,L 118-119,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-10.5,,C,marjabo01
49,Boban Marjanović,0,2019-12-16,31-123,DAL,@,MIL,W 120-116,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.3,,C,marjabo01
50,Cody Martin,0,2020-01-04,24-098,CHO,@,DAL,W 123-120 (OT),,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-6.9,-2,G-F,martico01
51,Frank Mason III,0,2019-11-29,25-240,MIL,@,CLE,W 119-110,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-10.3,0,G,masonfr01
52,Patrick McCaw,0,2020-01-22,24-089,TOR,,PHI,W 107-95,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.1,0,G,mccawpa01
53,Alfonzo McKinnie,0,2019-10-26,27-039,CLE,,IND,W 110-99,,0,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-4.6,0,F,mckinal01
