Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,WAS,2022-02-25,153,,SAS,L 153-157 (2OT),290,59,108,.546,43,70,.614,16,38,.421,19,24,.792,153,57,105,.543,48,76,.632,9,29,.310,34,43,.791,157
2,MEM,2021-12-02,152,,OKC,W 152-79,240,60,96,.625,41,60,.683,19,36,.528,13,18,.722,152,25,76,.329,14,38,.368,11,38,.289,18,22,.818,79
3,HOU,2021-11-27,146,,CHO,W 146-143 (OT),265,51,95,.537,28,46,.609,23,49,.469,21,31,.677,146,48,103,.466,28,53,.528,20,50,.400,27,30,.900,143
4,MIA,2022-04-05,144,,CHO,W 144-115,240,48,84,.571,25,42,.595,23,42,.548,25,29,.862,144,45,85,.529,33,47,.702,12,38,.316,13,18,.722,115
5,BOS,2022-04-03,144,,WAS,W 144-102,240,56,91,.615,33,47,.702,23,44,.523,9,13,.692,144,38,82,.463,30,61,.492,8,21,.381,18,20,.900,102
6,PHI,2022-04-02,144,,CHO,W 144-114,240,53,87,.609,32,44,.727,21,43,.488,17,21,.810,144,42,87,.483,31,57,.544,11,30,.367,19,24,.792,114
7,SAS,2021-12-26,144,,DET,W 144-109,240,51,91,.560,38,64,.594,13,27,.481,29,37,.784,144,38,98,.388,30,66,.455,8,32,.250,25,34,.735,109
8,CLE,2021-12-26,144,,TOR,W 144-99,240,56,106,.528,34,54,.630,22,52,.423,10,12,.833,144,37,89,.416,28,53,.528,9,36,.250,16,23,.696,99
9,LAC,2022-02-17,142,,HOU,W 142-111,240,51,92,.554,33,57,.579,18,35,.514,22,26,.846,142,42,91,.462,29,54,.537,13,37,.351,14,19,.737,111
10,SAC,2021-12-08,142,,ORL,W 142-130,240,53,97,.546,38,63,.603,15,34,.441,21,25,.840,142,48,97,.495,32,63,.508,16,34,.471,18,23,.783,130
11,DEN,2022-04-10,141,,LAL,L 141-146 (OT),265,49,100,.490,34,53,.642,15,47,.319,28,36,.778,141,44,94,.468,28,51,.549,16,43,.372,42,47,.894,146
12,MEM,2022-04-09,141,,NOP,W 141-114,240,53,90,.589,35,55,.636,18,35,.514,17,23,.739,141,41,91,.451,35,61,.574,6,30,.200,26,35,.743,114
13,PHO,2022-03-13,140,,LAL,W 140-111,240,58,102,.569,46,69,.667,12,33,.364,12,14,.857,140,36,81,.444,20,41,.488,16,40,.400,23,31,.742,111
14,DEN,2022-01-13,140,,POR,W 140-108,240,52,83,.627,31,41,.756,21,42,.500,15,20,.750,140,39,86,.453,26,46,.565,13,40,.325,17,28,.607,108
15,CHO,2022-01-05,140,,DET,W 140-111,240,48,81,.593,24,39,.615,24,42,.571,20,29,.690,140,43,92,.467,29,50,.580,14,42,.333,11,20,.550,111
16,SAC,2021-11-05,140,,CHO,W 140-110,240,48,87,.552,26,43,.605,22,44,.500,22,26,.846,140,43,92,.467,32,57,.561,11,35,.314,13,21,.619,110
17,SAS,2022-03-14,139,,MIN,L 139-149,240,52,97,.536,39,62,.629,13,35,.371,22,26,.846,139,52,90,.578,35,57,.614,17,33,.515,28,32,.875,149
