Rk,Player,MP,Season,Lg,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Player-additional
1,Jahlil Okafor,3,2024-25,NBA,IND,1,0,3,0,0,,0,0,,0,0,,0,0,,,0,1,1,1,0,0,0,0,0,1.0,7.5,5,okafoja01
2,Zyon Pullin,3,2024-25,NBA,MEM,3,0,3,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.2,-22.7,1,pullizy01
3,Alondes Williams,4,2024-25,NBA,DET,1,0,4,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,1.250,0,0,0,1,0,0,0,0,5,5.1,44.1,6,willial06
4,Jesse Edwards,5,2024-25,NBA,MIN,2,0,5,0,0,,0,0,,0,0,,0,0,,,0,0,0,1,0,0,0,2,0,-0.1,-4.0,-10,edwarje01
5,James Wiseman,5,2024-25,NBA,IND,1,0,5,2,4,.500,2,3,.667,0,1,.000,2,2,1.000,.615,0,1,1,0,0,0,0,0,6,4.3,1.6,-4,wisemja01
6,Isaiah Stevens,6,2024-25,NBA,MIA,3,0,6,0,2,.000,0,1,.000,0,1,.000,0,0,,.000,0,2,2,0,1,0,0,0,0,0.1,-11.8,4,steveis01
7,Jalen McDaniels,7,2024-25,NBA,WAS,4,0,7,0,0,,0,0,,0,0,,0,0,,,0,0,0,1,1,0,0,0,0,0.4,5.6,-1,mcdanja01
8,Riley Minix,7,2024-25,NBA,SAS,1,0,7,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,2,2,0,0,0,0,0,0,-0.1,-11.8,0,minixri01
9,Terry Taylor,7,2024-25,NBA,SAC,3,0,7,0,1,.000,0,1,.000,0,0,,0,0,,.000,1,0,1,2,0,0,0,0,0,0.5,3.3,9,taylote01
10,Terence Davis,8,2024-25,NBA,SAC,1,0,8,0,2,.000,0,1,.000,0,1,.000,0,0,,.000,0,1,1,1,0,0,0,0,0,-0.4,-16.9,-3,daviste02
