Home,Away,Date,Won, ,PointDiff,FTDiff,Home2pt,Away2pt,Home3pt,Away3pt,Def2pt,OppDef2pt,Def3pt,OppDef3pt
1,22,2022-10-18,1, ,9,-2,68,54,36,39,587,723,382,343
9,13,2022-10-18,1, ,14,-2,58,60,48,30,556,537,250,356
0,6,2022-10-19,1, ,2,-2,64,42,24,42,525,508,400,364
11,29,2022-10-19,0, ,-7,-5,48,62,45,33,508,436,355,357
28,7,2022-10-19,1, ,21,6,52,70,48,15,574,578,227,421
14,19,2022-10-19,1, ,3,-1,50,70,51,27,486,431,243,340
17,20,2022-10-19,1, ,7,9,58,48,30,42,444,518,311,263
26,3,2022-10-19,0, ,-27,-5,66,70,21,39,538,508,448,206
0,10,2022-10-19,1, ,10,6,76,66,21,27,524,585,257,280
2,18,2022-10-19,0, ,-22,0,60,76,30,36,500,536,462,303
25,24,2022-10-19,0, ,-7,-13,44,56,51,33,467,537,393,386
27,5,2022-10-19,1, ,3,4,46,56,39,30,571,411,357,433
15,4,2022-10-19,0, ,-8,1,50,56,36,39,491,481,361,429
8,21,2022-10-19,1, ,4,5,52,62,42,33,554,464,367,368
22,16,2022-10-20,0, ,-2,2,62,42,15,39,500,525,310,208
13,12,2022-10-20,0, ,-6,2,48,56,27,27,549,490,310,200
19,8,2022-10-21,1, ,24,-5,68,60,48,27,556,596,250,421
2,27,2022-10-21,1, ,4,8,50,60,39,33,536,556,393,371
0,21,2022-10-21,1, ,10,-9,54,50,39,24,543,466,235,419
29,4,2022-10-21,1, ,2,-17,62,52,30,21,500,574,259,385
10,14,2022-10-21,0, ,-7,-2,56,52,48,57,464,483,452,457
11,26,2022-10-21,0, ,-3,-11,80,54,33,51,540,580,548,314
15,1,2022-10-21,0, ,-7,-3,68,54,24,42,587,515,424,308
24,0,2022-10-21,1, ,2,16,52,66,30,30,493,491,370,345
3,18,2022-10-21,0, ,-12,-21,62,68,39,24,507,492,364,382
17,28,2022-10-21,0, ,-6,3,76,58,33,60,475,514,400,333
9,7,2022-10-21,0, ,-5,3,54,62,45,45,596,614,441,341
15,27,2022-10-22,1, ,3,4,54,46,33,42,479,587,359,367
16,10,2022-10-22,1, ,20,-4,64,40,48,48,357,593,432,516
11,8,2022-10-22,1, ,9,-5,58,38,48,54,358,475,429,381
21,1,2022-10-22,0, ,-6,-8,60,46,45,57,575,492,404,441
4,5,2022-10-22,0, ,-32,5,54,64,21,48,552,491,593,241
