Won,HomeCourt,HomePointDiff,HomeFT,Home2pt,Home3pt,Def2pt,Def3pt,AwayPointDiff,AwayFT,Away2pt,Away3pt,OppDef2pt,OppDef3pt
1,1,-6,19,58,31,575,335,1,19,60,32,584,348
0,1,-2,17,61,33,506,374,1,17,60,35,497,377
1,1,-10,15,61,34,570,392,6,18,57,36,522,349
1,1,-0,20,55,37,546,365,-1,20,63,33,522,374
1,1,2,18,50,43,551,373,-2,18,63,35,538,358
1,1,-2,17,54,36,525,346,8,18,53,49,536,351
0,1,-1,19,53,45,540,365,-2,19,54,36,567,358
1,1,3,17,62,36,522,359,2,17,64,34,539,347
1,1,-6,20,55,35,567,373,2,17,64,34,543,348
1,1,5,17,56,39,506,337,2,15,54,49,544,347
1,1,1,18,56,44,549,336,7,20,65,33,553,331
0,1,-2,21,65,29,545,336,7,18,52,49,536,353
1,1,2,19,54,37,556,330,3,20,58,40,541,368
0,1,-2,18,63,35,534,360,-1,19,54,36,562,355
0,1,-7,17,62,30,560,347,-7,20,55,35,571,346
0,1,-10,14,61,34,571,386,0,20,55,38,546,365
1,1,-5,20,57,31,571,332,1,17,63,34,541,348
1,1,-1,17,55,36,529,342,-1,19,63,33,526,377
0,1,1,20,60,31,580,352,2,20,58,40,541,372
1,1,-1,19,52,44,538,361,1,15,53,49,547,349
0,1,0,19,63,31,553,365,1,20,61,33,532,332
0,1,2,18,49,44,551,371,6,18,58,35,523,349
1,1,1,16,62,36,572,365,-2,17,60,33,509,372
1,1,2,17,56,44,547,330,6,20,65,33,555,331
0,1,-5,20,54,35,561,369,-1,18,53,37,562,356
0,1,-0,17,54,36,529,337,1,17,63,34,541,349
1,1,4,17,62,36,516,358,5,18,56,39,502,340
0,1,-7,17,62,31,560,351,1,17,63,34,539,350
1,1,1,18,49,44,553,370,1,19,55,38,544,365
0,1,-0,19,64,31,550,371,1,20,61,33,536,332
1,1,-2,21,65,29,543,338,2,17,64,35,571,369
1,1,3,19,54,38,556,327,1,15,53,49,548,351
1,1,6,18,58,34,520,348,-1,19,52,44,536,363
0,1,7,18,52,49,537,350,-5,20,57,32,572,332
0,1,1,20,60,31,581,353,2,17,61,35,498,376
0,1,-7,20,55,36,568,346,2,20,58,40,542,369
0,1,-2,18,64,34,531,362,-2,19,63,32,523,374
0,1,-5,20,55,35,561,368,0,19,55,38,550,367
1,1,2,17,63,34,537,350,6,20,65,33,554,332
1,1,3,18,56,39,506,341,2,18,56,44,546,332
1,1,-2,18,63,34,530,366,5,17,63,36,516,354
1,1,6,19,58,35,526,347,2,19,49,44,551,369
0,1,-10,14,62,34,577,388,-1,18,52,37,562,353
1,1,-1,17,54,36,530,335,-3,17,60,34,517,367
0,1,1,20,61,31,587,353,0,15,53,49,547,353
1,1,-2,19,63,32,526,371,-1,19,63,31,545,372
0,1,6,18,52,48,538,348,-4,20,58,32,574,329
1,1,-1,21,65,29,543,338,-3,17,60,34,515,369
1,1,1,17,64,35,573,369,-7,17,61,32,560,357
0,1,-7,20,55,35,569,347,2,17,61,35,500,376
0,1,-1,19,52,44,536,366,2,20,60,34,535,334
1,1,-1,19,63,34,528,373,2,18,49,44,552,363
0,1,2,20,58,40,541,368,-7,17,61,32,559,356
0,1,5,19,65,33,555,334,4,17,56,40,509,341
1,1,6,18,58,34,527,346,1,17,56,44,547,337
1,1,2,17,63,35,539,351,-1,21,66,29,545,335
1,1,-2,18,63,35,528,363,1,19,55,38,549,358
0,1,-5,20,55,34,560,368,-10,15,61,34,578,387
1,1,3,19,54,38,551,329,0,20,60,31,587,356
1,1,2,17,63,35,538,353,-4,20,57,32,570,327
0,1,2,17,63,35,538,353,-3,17,60,33,515,370
0,1,-7,21,56,35,569,352,0,17,56,44,549,344
1,1,1,17,64,35,571,367,5,18,62,36,512,356
1,1,2,20,60,34,534,335,1,15,53,49,543,354
0,1,-1,18,53,37,559,354,-2,19,63,32,553,378
0,1,-6,20,56,34,561,372,-4,20,57,32,571,328
1,1,6,18,58,35,524,344,4,18,56,40,507,343
0,1,-0,19,63,34,524,375,1,19,48,45,551,364
1,1,-2,18,62,35,529,365,1,19,55,39,548,358
0,1,3,20,60,34,536,335,0,20,60,31,582,356
1,1,-1,17,54,36,528,336,-7,17,62,32,558,356
1,1,2,20,58,40,543,366,-2,20,65,30,543,341
0,1,6,18,52,48,532,350,-1,19,52,44,536,364
1,1,3,20,54,38,551,327,-7,21,56,35,569,355
1,1,2,17,61,35,502,372,-0,15,52,49,545,356
0,1,2,17,63,35,537,354,-1,19,63,32,555,376
1,1,5,19,64,34,562,333,-9,15,61,35,575,381
1,1,1,17,56,44,550,345,-3,17,60,33,515,371
0,1,-1,18,62,35,531,366,5,20,64,34,562,333
1,1,3,17,61,36,505,372,4,17,56,39,510,342
0,1,7,19,58,34,523,347,0,20,60,31,583,358
0,1,2,17,63,35,538,353,4,17,62,36,511,357
0,1,3,20,60,34,536,333,-1,19,63,32,552,376
0,1,-1,18,52,37,562,356,-1,18,52,44,533,363
0,1,-2,21,65,30,546,342,-7,17,62,32,559,360
1,1,2,17,62,35,538,352,-7,21,56,34,568,353
1,1,1,17,64,35,570,362,0,19,55,39,548,357
1,1,4,20,54,38,548,325,0,17,53,37,525,334
0,1,-6,20,56,34,561,370,1,19,48,45,553,361
1,1,6,18,52,48,531,353,-1,19,63,33,525,373
1,1,-4,20,57,32,570,330,-9,15,61,34,574,381
0,1,2,20,58,40,542,369,-3,17,61,33,514,374
1,1,-1,15,53,48,548,365,5,18,63,35,513,354
1,1,2,19,47,45,552,359,-2,20,65,31,551,343
1,1,6,19,52,47,532,352,3,17,56,39,510,345
1,1,2,17,64,35,571,358,2,17,63,35,538,351
0,1,3,20,60,35,535,336,4,19,54,38,550,326
0,1,-1,18,63,32,551,379,-6,20,56,34,561,369
1,1,-10,15,61,34,575,386,1,17,56,44,553,344
0,1,6,19,58,34,522,352,3,17,61,36,508,368
1,1,5,20,64,34,560,334,-1,18,52,45,530,364
1,1,-1,18,53,37,561,358,-1,18,63,33,527,371
