Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Kawhi Leonard,34,2020-12-22,29-176,LAC,@,LAL,W 116-109,*,34,10,26,.385,9,18,.500,1,8,.125,5,5,1.000,.461,0,2,2,3,2,0,3,5,26,11.5,-3.3,1,F,leonaka01
2,Kevon Looney,11,2020-12-22,24-320,GSW,@,BRK,L 99-125,,11,2,4,.500,2,4,.500,0,0,,0,1,.000,.450,0,2,2,0,0,0,2,3,4,-1.0,-17.1,-10,F-C,looneke01
3,Reggie Perry,8,2020-12-22,20-276,BRK,,GSW,W 125-99,,8,1,3,.333,1,2,.500,0,1,.000,0,0,,.333,1,1,2,1,0,0,0,0,2,2.0,-1.9,-8,F-C,perryre01
4,Andrew Wiggins,31,2020-12-22,25-303,GSW,@,BRK,L 99-125,*,31,4,16,.250,2,10,.200,2,6,.333,3,4,.750,.366,0,2,2,1,0,1,4,4,13,-0.6,-12.7,-28,F-G,wiggian01
5,Quinn Cook,1,2020-12-22,27-274,LAL,,LAC,L 109-116,,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-4.8,2,G,cookqu01
6,Bruce Brown,8,2020-12-22,24-129,BRK,,GSW,W 125-99,,8,1,3,.333,1,2,.500,0,1,.000,0,0,,.333,0,1,1,1,0,0,2,1,2,-1.1,-17.6,-7,G-F,brownbr01
7,Amir Coffey,1,2020-12-22,23-188,LAC,@,LAL,W 116-109,,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-3.9,-2,G,coffeam01
8,Serge Ibaka,21,2020-12-22,31-095,LAC,@,LAL,W 116-109,*,21,5,7,.714,3,4,.750,2,3,.667,3,5,.600,.815,2,4,6,0,0,1,1,3,15,12.4,8.7,-8,F-C,ibakase01
9,Taurean Prince,16,2020-12-22,26-275,BRK,,GSW,W 125-99,,16,0,1,.000,0,0,,0,1,.000,1,2,.500,.266,0,1,1,0,1,1,0,1,1,1.5,-1.7,3,F,princta02
10,Marquese Chriss,12,2020-12-22,23-173,GSW,@,BRK,L 99-125,,12,4,10,.400,3,7,.429,1,3,.333,0,0,,.450,3,5,8,1,0,0,0,2,9,7.1,3.2,-6,F,chrisma01
11,Rodions Kurucs,7,2020-12-22,22-321,BRK,,GSW,W 125-99,,7,1,1,1.000,0,0,,1,1,1.000,0,0,,1.500,0,1,1,0,0,0,0,0,3,3.0,9.9,-9,F,kurucro01
12,Mfiondu Kabengele,1,2020-12-22,23-130,LAC,@,LAL,W 116-109,,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-2.3,-2,F,kabenmf01
13,Talen Horton-Tucker,11,2020-12-22,20-027,LAL,,LAC,L 109-116,,11,2,2,1.000,2,2,1.000,0,0,,2,2,1.000,1.042,0,1,1,0,1,0,1,3,6,4.5,4.1,7,G-F,hortota01
14,Nicolas Batum,28,2020-12-22,32-008,LAC,@,LAL,W 116-109,*,28,1,4,.250,0,1,.000,1,3,.333,0,0,,.375,1,5,6,6,2,0,1,2,3,7.2,6.3,-2,F-G,batumni01
15,Kentavious Caldwell-Pope,23,2020-12-22,27-308,LAL,,LAC,L 109-116,*,23,2,4,.500,1,1,1.000,1,3,.333,4,4,1.000,.781,0,2,2,1,2,1,2,2,9,8.2,6.6,-9,G,caldwke01
16,Kelly Oubre Jr.,26,2020-12-22,25-013,GSW,@,BRK,L 99-125,*,26,3,14,.214,3,8,.375,0,6,.000,0,0,,.214,4,3,7,2,1,2,3,1,6,1.5,-10.0,-28,F,oubreke01
17,Joe Harris,21,2020-12-22,29-107,BRK,,GSW,W 125-99,*,21,4,8,.500,2,3,.667,2,5,.400,0,0,,.625,2,5,7,2,0,1,2,2,10,8.2,2.7,21,G,harrijo01
18,Kyle Kuzma,27,2020-12-22,25-151,LAL,,LAC,L 109-116,,27,6,11,.545,5,8,.625,1,3,.333,2,2,1.000,.631,0,1,1,0,0,0,2,2,15,7.2,-2.3,1,F,kuzmaky01
19,Markieff Morris,19,2020-12-22,31-111,LAL,,LAC,L 109-116,,19,1,3,.333,0,1,.000,1,2,.500,2,3,.667,.579,1,3,4,1,0,0,0,0,5,5.2,3.5,14,F,morrima02
20,Spencer Dinwiddie,20,2020-12-22,27-260,BRK,,GSW,W 125-99,*,20,2,6,.333,1,3,.333,1,3,.333,4,4,1.000,.580,0,5,5,4,0,0,3,1,9,6.5,-1.4,24,G,dinwisp01
21,Brad Wanamaker,22,2020-12-22,31-150,GSW,@,BRK,L 99-125,,22,0,2,.000,0,1,.000,0,1,.000,3,4,.750,.399,0,1,1,3,0,0,1,2,3,1.8,-8.7,1,G,wanambr01
22,Eric Paschall,22,2020-12-22,24-048,GSW,@,BRK,L 99-125,*,22,2,6,.333,1,5,.200,1,1,1.000,1,2,.500,.436,1,0,1,0,0,1,0,1,6,3.2,-5.3,-28,F,pascher01
23,Kent Bazemore,12,2020-12-22,31-174,GSW,@,BRK,L 99-125,,12,1,2,.500,1,1,1.000,0,1,.000,0,0,,.500,0,2,2,2,1,0,2,3,2,0.8,-7.3,-3,G-F,bazemke01
24,Marc Gasol,12,2020-12-22,35-328,LAL,,LAC,L 109-116,*,12,0,0,,0,0,,0,0,,0,0,,,0,1,1,1,0,0,1,5,0,-2.0,-10.7,-8,C,gasolma01
25,Stephen Curry,30,2020-12-22,32-283,GSW,@,BRK,L 99-125,*,30,7,21,.333,5,11,.455,2,10,.200,4,4,1.000,.439,3,1,4,10,2,0,3,1,20,16.1,8.1,-23,G,curryst01
26,Patrick Patterson,20,2020-12-22,31-283,LAC,@,LAL,W 116-109,,20,1,5,.200,0,1,.000,1,4,.250,0,0,,.300,1,2,3,1,2,0,1,2,3,2.1,-1.4,9,F,pattepa01
27,Wesley Matthews,11,2020-12-22,34-069,LAL,,LAC,L 109-116,,11,0,2,.000,0,0,,0,2,.000,0,0,,.000,0,0,0,0,1,0,0,0,0,-0.4,-4.9,-18,G,matthwe02
28,Mychal Mulder,7,2020-12-22,26-193,GSW,@,BRK,L 99-125,,7,3,3,1.000,1,1,1.000,2,2,1.000,0,0,,1.333,0,1,1,0,0,0,0,0,8,7.4,29.4,9,G-F,muldemy01
29,James Wiseman,24,2020-12-22,19-266,GSW,@,BRK,L 99-125,*,24,7,13,.538,6,12,.500,1,1,1.000,4,8,.500,.575,1,5,6,0,2,0,1,2,19,13.5,4.5,-10,C,wisemja01
30,Jordan Poole,18,2020-12-22,21-186,GSW,@,BRK,L 99-125,,18,1,4,.250,1,3,.333,0,1,.000,0,0,,.250,0,2,2,3,0,0,2,2,2,-0.5,-13.1,-3,G,poolejo01
31,LeBron James,28,2020-12-22,35-358,LAL,,LAC,L 109-116,*,28,7,17,.412,4,9,.444,3,8,.375,5,7,.714,.548,2,3,5,5,0,0,4,2,22,13.1,3.2,2,F-G,jamesle01
32,Lou Williams,26,2020-12-22,34-056,LAC,@,LAL,W 116-109,,26,4,9,.444,2,5,.400,2,4,.500,1,3,.333,.533,0,2,2,3,0,0,1,2,11,6.4,-1.6,1,G,willilo02
33,Ivica Zubac,27,2020-12-22,23-279,LAC,@,LAL,W 116-109,,27,4,5,.800,4,5,.800,0,0,,3,4,.750,.814,3,3,6,1,1,1,1,4,11,11.5,4.7,17,C,zubaciv01
34,Luke Kennard,21,2020-12-22,24-181,LAC,@,LAL,W 116-109,,21,2,6,.333,2,3,.667,0,3,.000,0,0,,.333,0,2,2,2,2,1,1,3,4,3.1,-0.8,-3,G,kennalu01
35,Paul George,36,2020-12-22,30-234,LAC,@,LAL,W 116-109,*,36,13,18,.722,8,10,.800,5,8,.625,2,2,1.000,.874,0,6,6,3,1,0,5,3,33,24.3,12.6,17,F-G,georgpa01
36,Anthony Davis,31,2020-12-22,27-286,LAL,,LAC,L 109-116,*,31,8,15,.533,8,13,.615,0,2,.000,2,2,1.000,.567,0,7,7,2,0,0,4,1,18,9.8,-2.4,-16,F-C,davisan02
37,Kevin Durant,25,2020-12-22,32-084,BRK,,GSW,W 125-99,*,25,7,16,.438,6,14,.429,1,2,.500,7,7,1.000,.577,1,4,5,3,3,1,1,3,22,19.1,11.1,26,F-G,duranke01
38,Caris LeVert,25,2020-12-22,26-119,BRK,,GSW,W 125-99,,25,6,17,.353,3,12,.250,3,5,.600,5,6,.833,.509,1,8,9,5,2,1,2,1,20,17.0,8.7,18,G-F,leverca01
39,Landry Shamet,20,2020-12-22,23-284,BRK,,GSW,W 125-99,,20,1,4,.250,0,0,,1,4,.250,3,4,.750,.521,0,1,1,0,1,0,2,3,6,1.3,-7.8,12,G,shamela01
40,Terance Mann,1,2020-12-22,24-065,LAC,@,LAL,W 116-109,,1,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.7,-42.0,-2,G-F,mannte01
41,Montrezl Harrell,32,2020-12-22,26-331,LAL,,LAC,L 109-116,,32,6,7,.857,6,7,.857,0,0,,5,7,.714,.843,4,6,10,3,0,1,1,1,17,19.7,10.7,-3,F-C,harremo01
42,Damion Lee,12,2020-12-22,28-062,GSW,@,BRK,L 99-125,,12,1,2,.500,0,1,.000,1,1,1.000,0,0,,.750,1,6,7,2,0,0,0,0,3,5.9,6.8,8,G,leeda03
43,Juan Toscano-Anderson,13,2020-12-22,27-256,GSW,@,BRK,L 99-125,,13,2,2,1.000,2,2,1.000,0,0,,0,0,,1.000,0,4,4,2,0,2,0,3,4,6.2,7.4,-9,F,toscaju01
44,Dennis Schröder,28,2020-12-22,27-098,LAL,,LAC,L 109-116,*,28,5,15,.333,3,10,.300,2,5,.400,2,4,.500,.418,1,11,12,8,0,0,1,4,14,11.7,1.6,-10,G,schrode01
45,DeAndre Jordan,17,2020-12-22,32-154,BRK,,GSW,W 125-99,*,17,2,3,.667,2,3,.667,0,0,,0,2,.000,.515,2,9,11,1,1,1,3,2,4,4.6,-2.6,21,C,jordade01
46,Tyler Johnson,6,2020-12-22,28-229,BRK,,GSW,W 125-99,,6,0,1,.000,0,1,.000,0,0,,0,0,,.000,1,0,1,0,1,0,0,0,0,1.0,1.2,-12,G,johnsty01
47,Patrick Beverley,22,2020-12-22,32-163,LAC,@,LAL,W 116-109,*,22,4,9,.444,2,4,.500,2,5,.400,0,0,,.556,4,2,6,3,0,0,2,4,10,7.2,1.7,10,G,beverpa01
48,Jarrett Allen,20,2020-12-22,22-245,BRK,,GSW,W 125-99,,20,2,3,.667,2,3,.667,0,0,,4,5,.800,.769,3,4,7,2,1,2,2,0,8,11.4,8.1,12,C-F,allenja01
49,Jeff Green,17,2020-12-22,34-116,BRK,,GSW,W 125-99,,17,3,4,.750,2,2,1.000,1,2,.500,0,0,,.875,0,0,0,1,1,0,1,3,7,4.9,2.0,6,F,greenje02
50,Alex Caruso,17,2020-12-22,26-298,LAL,,LAC,L 109-116,,17,1,5,.200,0,1,.000,1,4,.250,0,0,,.300,0,2,2,1,0,0,3,0,3,-1.8,-13.2,3,G,carusal01
51,Kyrie Irving,25,2020-12-22,28-274,BRK,,GSW,W 125-99,*,25,10,16,.625,6,9,.667,4,7,.571,2,2,1.000,.770,1,3,4,4,0,0,1,3,26,21.0,13.6,32,G,irvinky01
52,Timothé Luwawu-Cabarrot,7,2020-12-22,25-227,BRK,,GSW,W 125-99,,7,2,6,.333,1,3,.333,1,3,.333,0,0,,.417,1,1,2,0,0,0,1,2,5,0.8,-16.7,-9,F,luwawti01
