Rk,Player,MP,Season,Lg,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Player-additional
1,Michael Foster Jr.,1,2022-23,NBA,PHI,1,0,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.2,-2,fostemi02
2,Stanley Umude,2,2022-23,NBA,DET,1,0,2,0,1,.000,0,0,,0,1,.000,2,2,1.000,.532,0,0,0,0,1,1,0,0,2,3.0,48.6,3,umudest01
3,Chris Silva,3,2022-23,NBA,DAL,1,0,3,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,0,0,0,0,0,0,1,2,2,-0.1,-22.6,1,silvach01
4,Frank Jackson,5,2022-23,NBA,UTA,1,0,5,0,3,.000,0,2,.000,0,1,.000,0,0,,.000,1,1,2,1,0,0,0,0,0,-0.4,-22.2,-2,jacksfr01
5,Alondes Williams,5,2022-23,NBA,BRK,1,0,5,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,0,2,1,0,-2.1,-26.5,-5,willial06
6,Donovan Williams,5,2022-23,NBA,ATL,2,0,5,2,5,.400,2,3,.667,0,2,.000,0,0,,.400,0,2,2,0,0,0,0,0,4,1.0,-15.2,6,willido02
7,Deonte Burton,6,2022-23,NBA,SAC,2,0,6,0,2,.000,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.7,-24.2,5,burtode02
8,Jordan Schakel,6,2022-23,NBA,WAS,2,0,6,1,2,.500,0,1,.000,1,1,1.000,0,0,,.750,0,0,0,1,1,0,0,1,3,1.7,17.0,6,schakjo01
9,Tyler Dorsey,8,2022-23,NBA,DAL,3,0,8,4,5,.800,3,3,1.000,1,2,.500,0,0,,.900,1,1,2,0,0,0,0,0,9,2.7,17.8,2,dorsety01
10,Trevor Keels,8,2022-23,NBA,NYK,3,0,8,1,4,.250,0,0,,1,4,.250,0,0,,.375,0,2,2,0,0,0,0,0,3,0.4,-13.0,-18,keelstr01
11,Chima Moneke,8,2022-23,NBA,SAC,2,0,8,1,2,.500,1,2,.500,0,0,,0,2,.000,.347,2,0,2,1,0,0,2,2,2,-0.3,-20.7,-9,monekch01
12,Malcolm Hill,9,2022-23,NBA,CHI,5,0,9,2,4,.500,1,1,1.000,1,3,.333,0,0,,.625,0,3,3,0,0,0,0,1,5,0.7,2.4,9,hillma01
13,Braxton Key,9,2022-23,NBA,DET,3,0,9,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,1.064,0,1,1,0,0,0,0,0,4,1.3,2.9,-3,keybr01
14,Dylan Windler,10,2022-23,NBA,CLE,3,0,10,2,3,.667,1,1,1.000,1,2,.500,0,0,,.833,0,0,0,1,1,0,1,0,5,1.5,6.7,-1,windldy01
15,Dereon Seabron,13,2022-23,NBA,NOP,5,0,13,2,5,.400,2,5,.400,0,0,,0,0,,.400,1,0,1,0,0,0,0,1,4,0.3,-11.3,10,seabrde01
