Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
1,DEN,2023-10-24,119,,LAL,W 119-107,240,48,91,0.527,34,57,0.596,14,34,0.412,9,12,0.75,119,41,90,0.456,31,61,0.508,10,29,0.345,15,20,0.75,107
2,GSW,2023-10-24,104,,PHO,L 104-108,240,36,101,0.356,26,58,0.448,10,43,0.233,22,28,0.786,104,42,95,0.442,31,62,0.5,11,33,0.333,13,17,0.765,108
3,LAC,2023-10-25,123,,POR,W 123-111,240,47,90,0.522,31,56,0.554,16,34,0.471,13,16,0.813,123,44,93,0.473,34,61,0.557,10,32,0.313,13,17,0.765,111
4,ORL,2023-10-25,116,,HOU,W 116-86,240,42,87,0.483,33,53,0.623,9,34,0.265,23,26,0.885,116,32,79,0.405,20,45,0.444,12,34,0.353,10,16,0.625,86
5,SAS,2023-10-25,119,,DAL,L 119-126,240,46,89,0.517,35,54,0.648,11,35,0.314,16,22,0.727,119,47,99,0.475,32,52,0.615,15,47,0.319,17,23,0.739,126
6,UTA,2023-10-25,114,,SAC,L 114-130,240,41,91,0.451,32,63,0.508,9,28,0.321,23,31,0.742,114,47,102,0.461,28,51,0.549,19,51,0.373,17,20,0.85,130
7,BRK,2023-10-25,113,,CLE,L 113-114,240,42,84,0.5,33,57,0.579,9,27,0.333,20,26,0.769,113,44,94,0.468,27,51,0.529,17,43,0.395,9,10,0.9,114
8,TOR,2023-10-25,97,,MIN,W 97-94,240,36,90,0.4,22,55,0.4,14,35,0.4,11,16,0.688,97,34,100,0.34,26,69,0.377,8,31,0.258,18,22,0.818,94
9,MIA,2023-10-25,103,,DET,W 103-102,240,37,92,0.402,29,70,0.414,8,22,0.364,21,26,0.808,103,41,92,0.446,30,60,0.5,11,32,0.344,9,15,0.6,102
10,MEM,2023-10-25,104,,NOP,L 104-111,240,38,91,0.418,26,48,0.542,12,43,0.279,16,20,0.8,104,40,85,0.471,26,53,0.491,14,32,0.438,17,22,0.773,111
11,NYK,2023-10-25,104,,BOS,L 104-108,240,36,97,0.371,18,56,0.321,18,41,0.439,14,26,0.538,104,37,77,0.481,25,38,0.658,12,39,0.308,22,26,0.846,108
12,IND,2023-10-25,143,,WAS,W 143-120,240,56,107,0.523,36,64,0.563,20,43,0.465,11,12,0.917,143,44,96,0.458,35,72,0.486,9,24,0.375,23,29,0.793,120
13,CHI,2023-10-25,104,,OKC,L 104-124,240,39,94,0.415,27,52,0.519,12,42,0.286,14,18,0.778,104,45,82,0.549,26,43,0.605,19,39,0.487,15,18,0.833,124
14,CHO,2023-10-25,116,,ATL,W 116-110,240,43,86,0.5,32,49,0.653,11,37,0.297,19,26,0.731,116,39,93,0.419,34,64,0.531,5,29,0.172,27,33,0.818,110
15,LAL,2023-10-26,100,,PHO,W 100-95,240,36,84,0.429,31,55,0.564,5,29,0.172,23,29,0.793,100,34,81,0.42,25,50,0.5,9,31,0.29,18,23,0.783,95
16,MIL,2023-10-26,118,,PHI,W 118-117,240,41,81,0.506,30,51,0.588,11,30,0.367,25,36,0.694,118,41,80,0.513,25,45,0.556,16,35,0.457,19,28,0.679,117
17,CLE,2023-10-27,105,,OKC,L 105-108,240,38,92,0.413,26,47,0.553,12,45,0.267,17,23,0.739,105,40,87,0.46,27,61,0.443,13,26,0.5,15,19,0.789,108
18,BOS,2023-10-27,119,,MIA,W 119-111,240,45,95,0.474,29,56,0.518,16,39,0.41,13,19,0.684,119,38,89,0.427,22,56,0.393,16,33,0.485,19,23,0.826,111
19,SAC,2023-10-27,114,,GSW,L 114-122,240,41,94,0.436,29,54,0.537,12,40,0.3,20,29,0.69,114,48,87,0.552,34,55,0.618,14,32,0.438,12,14,0.857,122
20,ATL,2023-10-27,120,,NYK,L 120-126,240,42,87,0.483,30,55,0.545,12,32,0.375,24,30,0.8,120,43,90,0.478,23,46,0.5,20,44,0.455,20,28,0.714,126
21,POR,2023-10-27,97,,ORL,L 97-102,240,35,88,0.398,26,56,0.464,9,32,0.281,18,21,0.857,97,36,79,0.456,27,51,0.529,9,28,0.321,21,32,0.656,102
22,DAL,2023-10-27,125,,BRK,W 125-120,240,44,91,0.484,29,55,0.527,15,36,0.417,22,28,0.786,125,45,92,0.489,24,49,0.49,21,43,0.488,9,10,0.9,120
23,CHI,2023-10-27,104,,TOR,W 104-103 (OT),265,37,99,0.374,29,60,0.483,8,39,0.205,22,28,0.786,104,39,84,0.464,30,48,0.625,9,36,0.25,16,25,0.64,103
24,SAS,2023-10-27,126,,HOU,W 126-122 (OT),265,46,94,0.489,33,52,0.635,13,42,0.31,21,28,0.75,126,52,100,0.52,44,68,0.647,8,32,0.25,10,20,0.5,122
25,CHO,2023-10-27,99,,DET,L 99-111,240,33,88,0.375,26,60,0.433,7,28,0.25,26,34,0.765,99,40,88,0.455,30,58,0.517,10,30,0.333,21,25,0.84,111
26,MEM,2023-10-27,104,,DEN,L 104-108,240,37,85,0.435,27,52,0.519,10,33,0.303,20,24,0.833,104,41,88,0.466,27,51,0.529,14,37,0.378,12,18,0.667,108
27,UTA,2023-10-27,120,,LAC,W 120-118,240,42,96,0.438,26,55,0.473,16,41,0.39,20,22,0.909,120,41,77,0.532,27,42,0.643,14,35,0.4,22,28,0.786,118
28,NOP,2023-10-28,96,,NYK,W 96-87,240,40,87,0.46,31,54,0.574,9,33,0.273,7,16,0.438,96,33,90,0.367,26,53,0.491,7,37,0.189,14,18,0.778,87
29,DET,2023-10-28,118,,CHI,W 118-102,240,45,86,0.523,33,58,0.569,12,28,0.429,16,20,0.8,118,39,93,0.419,28,65,0.431,11,28,0.393,13,16,0.813,102
