Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,WAS,2021-05-03,154,,IND,W 154-141,240,63,103,.612,54,81,.667,9,22,.409,19,24,.792,154,53,107,.495,39,80,.488,14,27,.519,21,25,.840,141
2,WAS,2021-01-31,149,,BRK,W 149-146,240,56,108,.519,44,69,.638,12,39,.308,25,32,.781,149,50,88,.568,31,52,.596,19,36,.528,27,33,.818,146
3,CLE,2021-01-20,147,,BRK,W 147-135 (2OT),290,56,109,.514,36,69,.522,20,40,.500,15,21,.714,147,48,106,.453,33,65,.508,15,41,.366,24,27,.889,135
4,SAS,2021-05-10,146,,MIL,W 146-125,240,56,94,.596,39,65,.600,17,29,.586,17,21,.810,146,47,94,.500,34,53,.642,13,41,.317,18,23,.783,125
5,BOS,2021-04-09,145,,MIN,W 145-136 (OT),265,47,87,.540,28,45,.622,19,42,.452,32,34,.941,145,47,96,.490,32,54,.593,15,42,.357,27,30,.900,136
6,BRK,2020-12-30,145,,ATL,W 145-141,240,54,100,.540,35,59,.593,19,41,.463,18,23,.783,145,47,99,.475,29,53,.547,18,46,.391,29,35,.829,141
7,BOS,2021-04-30,143,,SAS,W 143-140 (OT),265,49,105,.467,31,67,.463,18,38,.474,27,36,.750,143,49,92,.533,38,68,.559,11,24,.458,31,38,.816,140
8,HOU,2021-04-29,143,,MIL,W 143-136,240,49,98,.500,24,52,.462,25,46,.543,20,24,.833,143,49,93,.527,33,54,.611,16,39,.410,22,25,.880,136
9,WAS,2021-04-26,143,,SAS,L 143-146 (OT),265,58,109,.532,52,89,.584,6,20,.300,21,25,.840,143,55,103,.534,49,86,.570,6,17,.353,30,35,.857,146
10,DAL,2021-02-12,143,,NOP,W 143-130,240,51,88,.580,26,43,.605,25,45,.556,16,21,.762,143,48,90,.533,31,53,.585,17,37,.459,17,23,.739,130
11,MIL,2021-05-07,141,,HOU,W 141-133,240,51,95,.537,32,49,.653,19,46,.413,20,23,.870,141,48,96,.500,23,43,.535,25,53,.472,12,18,.667,133
12,IND,2021-04-07,141,,MIN,W 141-137,240,55,93,.591,41,65,.631,14,28,.500,17,19,.895,141,48,91,.527,38,63,.603,10,28,.357,31,40,.775,137
